step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: aflatoxin M1
Foods: UHT milk
Dictionary: {
    ""UHT milk"": {
        ""aflatoxin M1"": ""hazardous""
    }
}</s>",{'UHT milk': ['aflatoxin M1']}</s>,"In this study, ELISA (Enzyme Linked Immunosorbent Assay) technique was used for detection of aflatoxin M1 in UHT milk sold in Bursa-TURKEY for consumption. A total of 50 samples of commercial UHT (Ultra High Temperature) whole milk were analyzed. Aflatoxin M1 residues were detected in all samples (100%) studied in different levels. The mean value was 101.2 +/- 53.8 ng L(-1). Although, 40 (80%) were below the limit, the remaining 10 (20%) were well above the limit permitted by European Community and Turkish Food Codex. Serious risks for public health exist from milk consumption. Therefore, milk has to be controlled periodically for AFM1 contamination. Also, dairy cow feeds should be stored in such a way that they do not become contaminated."
"Chemicals: AFB(1), AFM(1)
            Foods: dairy cattle feed, silages
            Dictionary: {
                ""AFB(1)"": [""dairy cattle feed"", ""silages""],
                ""AFM(1)"": [""dairy cattle feed"", ""milk""]
            }</s>","{'dairy cattle': ['AFM(1)', 'AFB(1)']}</s>","Moulds occur in a great variety of foods, including the concentrated and roughage destined for animal feeding, and can produce mycotoxins under certain conditions. The ingestion of mycotoxin AFB(1) by dairy cattle leads to the biotransformation of that substance, which is eliminated via milk as AFM(1), and also causes damage to human health. The present study aimed to analyze the presence of aflatoxins in foodstuff destined for dairy cattle and in the milk produced by these animals. The contamination of the foodstuff by aflatoxins happened mainly in the feeds and the silages did not present contamination by aflatoxins. Out of the 42 samples of milk analyzed, 10 (24%) were contaminated by AFM(1), and 3 (7%) were above the 0.5 microg/l limit."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'dairy': ['Mycobacterium bovis']}</s>,"This paper analyzes the Winnipeg health department's campaign to eliminate tuberculosis in dairy herds supplying milk to the city. It examines the complexity of creating dairy policies at a time when there was no consensus about the role that Mycobacterium bovis played in the etiology of tuberculosis in humans, and when dairy producers and consumers often resisted regulations that increased their costs. The article argues that the scientific debates about the regulation of the city's milk supply enabled physicians and veterinarians to enlarge their professional practices; that the benefits and costs of the dairy policies were not equally distributed; and that Winnipeg's milk supply remained vulnerable to both deliberate and accidental contamination throughout this period."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Listeria monocytogenes': ['raw milk', 'Listeria species', 'Listeria monocytogenes', 'Listeria innocua'], 'Listeria innocua': ['raw milk', 'Listeria species', 'Listeria monocytogenes', 'Listeria innocua']}</s>","Listerosis may be transmitted by direct contact with infected animals or by consumption of contaminated vegetables, meat, or milk products. Raw milk samples obtained from the Milk Industry Foundation, five private dairy companies, and individual dairy farms in Shahrekord, Iran, were tested for the presence of Listeria species. A total of 500 raw milk samples were analyzed by two-stage enrichment techniques. Identification of isolated Listeria was done using the Micro-ID Listeria Kit (Remel, Lenexa, KS). The overall incidence of Listeria species in raw milk was 2.2%. L. monocytogenes was found in 1.6% of the raw milk samples, while L. innocua was found in 0.6% of the samples. Additional studies are needed to assess the public health impact of contaminated milk in Shahrekord."
"Chemicals: None
Foods: None
Dictionary: None</s>",{'milk': ['Staphylococcus aureus']}</s>,"Enterotoxigenic Staphylococcus aureus frequently contaminate milk and milk products causing food poisoning. Staphylococcus aureus were isolated from bovine, ovine and caprine milk and milk filters from 78 dairy production holdings supplying the farmhouse cheese sector in Ireland, using standard culture methods. Molecular methods were applied to study the distribution of genes encoding staphylococcal enterotoxins and toxic shock syndrome toxin in the collection. Multilocus variable number tandem repeat analysis was used to subtype the collection. One hundred and two Staphylococcus aureus (54 milk filters and 48 bulk milk) were recovered from apparently healthy animals; half of the isolates were toxigenic. Our findings are discussed in light of the risks posed to public health."
"Chemicals: AFB1, AFM1
            Foods: Turkish White, Kashar, Tulum cheeses
            Dictionary: {
                ""Turkish White cheese"": [""AFB1""],
                ""Kashar cheese"": [""AFB1""],
                ""Tulum cheese"": [""AFB1""]
            }</s>","{'Turkish White cheese': ['AFM1'], 'Kashar cheese': ['AFM1'], 'Tulum cheese': ['AFM1']}</s>","AFM1 is a hydroxylated metabolite produced when ruminants ingest contaminated feed with AFB1 and transferred to dairy products such as cheese, which represents an important risk factor for consumers. Turkish White, Kashar and Tulum cheeses are traditional cheese types in Turkey. This study was planned to compare the performance of a competitive ELISA for the determination of AFM1 in Turkish White, Kasar and Tulum cheeses against a new HPLC method. For this purpose, different AFM1 concentrations (50-400 ng/kg) were added to the cheese samples and the toxin levels were determined by ELISA and HPLC. Also, both methods were performed in 24 real samples obtained from different markets. In conclusion, the results obtained by ELISA in this study were related to those by HPLC for AFM1."
"Chemicals: X-ray
Foods: dairy products, ready-to-eat shrimp, oysters, fresh products, strawberries, shredded iceberg lettuce, and spinach leaves.
Dictionary: {
    'dairy products': ['X-ray'],
    'ready-to-eat shrimp': ['X-ray'],
    'oysters': ['X-ray'],
    'fresh products': ['X-ray'],
    'strawberries': ['X-ray'],
    'shredded iceberg lettuce': ['X-ray'],
    'spinach leaves': ['X-ray']
}</s>","{'dairy products': ['X-ray'], 'ready-to-eat shrimp': ['X-ray'], 'oysters': ['X-ray'], 'fresh products': ['X-ray'], 'strawberries': ['X-ray'], 'shredded iceberg lettuce': ['X-ray'], 'spinach leaves': ['X-ray']}</s>","X-ray is a non-thermal technology that has shown good efficacy in reducing pathogenic and spoilage bacteria, viruses and parasites. X-ray hygiene technology resulted in a high microbial loss in numerous food products, such as dairy products, ready-to-eat shrimp, oysters, fresh products, strawberries, shredded iceberg lettuce, and spinach leaves. Some X-ray studies on food safety have shown that X-ray is an effective technology and is also an appropriate alternative to the electron beam and gamma rays, and can be used in the food industry without side effects on human health. Besides, we reviewed the X-ray effect on the nutritional value of food. Therefore in this study, we aimed to review the available pros and cons of current studies regarding X-rays' effects on the food industry."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'dairy cattle': ['tuberculosis', 'infected animals', 'municipal milk supplies', 'pasteurization', 'tuberculosis contamination', 'poor sanitation']}</s>","Before World War I, British and American public health officials correlated tuberculosis in dairy cattle with severe infections in milk-drinking children. They traced bacteria in municipal milk supplies, mapped the locations of infected animals, and sought regulatory power to destroy them. Consumers, milk producers, municipal officials, veterinarians, and physicians all influenced the shape of antituberculosis regulations. Many condemned pasteurization as too costly and as masking tubercular contamination and poor sanitation. They saw milk-borne tuberculosis as an environmental as well as a bacteriological problem. Similar to other zoonotic diseases such as BSE, bovine tuberculosis blurred the boundaries between urban and rural, production and consumption, and human and animal bodies."
"Chemicals: None
Foods: None
Dictionary: None</s>","{'Cow': ['AFM(1)'], 'Buffalo': ['AFM(1)'], 'Goat': ['AFM(1)'], 'Sheep': ['AFM(1)'], 'Sheep-Goat': ['AFM(1)']}</s>","A screening survey of the presence of aflatoxin M(1) (AFM(1)) was carried out on 265 samples of cheese made from cow, buffalo, goat, sheep, sheep-goat milk collected in the Apulia region (Southern Italy). Selected samples included unripened, medium and long-term ripened cheeses. AFM(1) was found in 16.6% of the analyzed samples. The highest positive incidence was for medium and long-term ripened cheeses, especially those made from sheep-goat milk, while buffalo cheeses tested consistently negative. Our results show that the level of contamination by AFM(1) in dairy products from Apulia Region are lower than in other Italian and European regions. Moreover, it is important to underline that a common European norm concerning the AFM(1) threshold limits for dairy products is still lacking."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'beef': ['BSE']}</s>,"The detection of bovine spongiform encephalopathy (BSE) in beef cattle closed Canadian beef export markets to 30 countries, including the USA, with devastating financial losses. The detection and confirmation of the fifth and seventh BSE-infected animals but first infected dairy cows extended the problem of risk management to Canadian dairy farmers. As the public are concerned about the safety not only of beef but also of milk and milk products that may contain disease-causing prions, this review examines the evidence for the safety of milk from studies on prions in milk or colostrum and their vertical and lateral transmission in various animal systems. The evidence indicates that the risk of contracting new variant Creutzfeldt-Jakob disease through the consumption of milk is negligible."
"Chemicals: [['Staphylococcal Enterotoxins', 'Staphylococcal Enterotoxin-like'], ['Staphylococcal Enterotoxins', 'Staphylococcal Enterotoxin-like']]
Foods: [['dairy products']]
Dictionary: {
    'dairy products': ['Staphylococcal Enterotoxins', 'Staphylococcal Enterotoxin-like']
}</s>","{'dairy products': ['Staphylococcal Enterotoxins (SEs) have been raising health concerns for food safety due to their association with staphylococcal foodborne poisoning (SFP). As superantigens, they also cause the life threatening toxic shock syndrome (TSS), the transmission of which via food cannot be ruled out despite the lack of epidemiological evidence. To date, at least 23 of these exotoxins are known and separated into SEs and Staphylococcal Enterotoxin-like (SEl) depending on whether or not they invoke emesis. This work presents an up-to-date overview on the presently known SEs/SEls from the perspective of their classification, pathogenesis, and genetic organisation. The incidence of these toxins in dairy products, the risk this poses to the public health, and possible control means are also reviewed.']}</s>","Staphylococcal Enterotoxins (SEs) have been raising health concerns for food safety due to their association with staphylococcal foodborne poisoning (SFP). As superantigens, they also cause the life threatening toxic shock syndrome (TSS), the transmission of which via food cannot be ruled out despite the lack of epidemiological evidence. To date, at least 23 of these exotoxins are known and separated into SEs and Staphylococcal Enterotoxin-like (SEl) depending on whether or not they invoke emesis. This work presents an up-to-date overview on the presently known SEs/SEls from the perspective of their classification, pathogenesis, and genetic organisation. The incidence of these toxins in dairy products, the risk this poses to the public health, and possible control means are also reviewed."
"Chemicals: None
Foods: B. cereus dairy strains, whipping cream
Dictionary: {}</s>",{'whipping cream': ['B. cereus']}</s>,"Characteristics concerning diarrhoeal potential were investigated in B. cereus dairy strains. The thirty-nine strains, isolated from whipping cream, were tested for cytotoxicity after culturing at human body temperature as well as 25 degrees C and 32 degrees C. At 37 degrees C, none of the strains were highly cytotoxic. This observation suggests that those strains should be considered to pose a minor risk with regard to diarrhoeal food poisoning. However, some strains were moderately or highly cytotoxic when grown at 25 degrees C and 32 degrees C. While the majority of the strains were able to grow at refrigeration temperatures, only four B. weihenstephanensis strains were identified among them when subjected to discriminative PCR assays and growth temperatures which delimit this species."
"Chemicals: [['antibiotics', 'pesticides', 'hormones', 'heavy metals', 'toxins']]
            Foods: [['meat', 'dairy', 'vegetables', 'fruits', 'grains']]
            Dictionary: {
                'meat': ['antibiotics', 'pesticides', 'hormones'],
                'dairy': ['antibiotics', 'pesticides', 'hormones', 'heavy metals', 'toxins'],
                'vegetables': ['pesticides', 'heavy metals'],
                'fruits': ['pesticides', 'heavy metals'],
                'grains': ['pesticides', 'heavy metals']
            }</s>","{'dairy cows': ['illegal drug residues', 'chemicals']}</s>","The National Residue Program is a dynamic risk-based program involving many Federal agencies, with the objective of preventing illegal drug residues and chemicals in the food supply. Surveillance is the systematic collection, analysis, and interpretation of residue data for public health action. This consists of assessing the cause(s) of the problem, recommending educational incentives, and intervention of prevention and control measures. The role of residue databases in formulating policy decisions and identifying risk factors for drug residues is discussed. A descriptive analysis, of 5 years (1992-1996) field investigative reports of drug residue occurrence in food animals is presented. The results showed that violative residues occurred predominately in culled dairy cows and bob veal calves."
