step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: 1,2-dichloropropane
Foods: None
Dictionary: {}</s>","{'food': ['abdominal fat', 'liver', 'kidney', 'lung']}</s>","The present investigation was undertaken to determine the distribution of 1,2-dichloropropane (DCP) in the blood, liver, kidney, lung, and abdominal fat of rats after oral administration. Male rats were orally administered 62 or 125 mg/kg body weight doses of DCP dissolved in corn oil by gavage, and the concentrations in the blood and tissues were measured. The DCP concentration in the abdominal fat was much greater than in the blood and other tissues. Twenty-four-hr after oral administration, DCP could still be detected in the blood and abdominal fat in the 62-mg/kg group, and in the blood, liver, kidney, lung, and abdominal fat in the 125-mg/kg group. Our results are valuable data pertaining to the pharmacokinetics of DCP and to human health risk assessment of oral exposure to DCP."
"Chemicals: None
Foods: corn
Dictionary: {}</s>",{'corn': ['Fusarium moniliforme']}</s>,"Using the seed-plate technique, 18 different isolates of Fusarium moniliforme were isolated on pentachloronitrobenzene (PCNB) agar medium from 18 samples of a local variety of corn collected from locations in Minia Governorate. The isolates of F. moniliforme were screened for their ability to produce fumonisins on polished rice grains using the solid state fermentation technique. Based on thin layer chromatographic (TLC) analyses using silica gel plates, 14 of the 18 isolates tested produced FB1 and FB2 with Rf (0.17) and (0.24), respectively. Concentration of FB1 was estimated using high performance liquid chromatography (HPLC). Production of FB1 by the 14 isolates of F. moniliforme tested ranged from 69 to 4495 ppm indicating that mouldy corn may represent a health hazard to consumers."
"Chemicals: fumonisin B1
Foods: corn, rice, wheat, their products
Dictionary: {
    'corn': 'fumonisin B1',
    'rice': 'fumonisin B1',
    'wheat': 'fumonisin B1'
}</s>","{'corn': ['Fumonisin B1 (FB1)'], 'rice': ['Fumonisin B1 (FB1)'], 'wheat': ['Fumonisin B1 (FB1)'], 'animals': ['Fumonisin B1 (FB1)'], 'humans': ['Fumonisin B1 (FB1)']}</s>","Fumonisin B1 (FB1), belonging to the member of fumonisins, is one of the most toxic mycotoxins produced mainly by Fusarium proliferatum and Fusarium verticillioide. FB1 has caused extensive contamination worldwide, mainly in corn, rice, wheat, and their products, while it also poses a health risk and is toxic to animals and human. It has been shown to cause oxidative stress, endoplasmic reticulum stress, cellular autophagy, and apoptosis. This review focuses on the current stage of FB1 contamination, its toxic effects of acute toxicity, immunotoxicity, organ toxicity, and reproductive toxicity on animals and humans. The potential toxic mechanisms of FB1 are discussed. One of the main aims of the work is to provide a reliable reference strategy for understanding the occurrence and toxicity of FB1."
"Chemicals: Se, Mo, Zn, As, Hg, Pb
Foods: Maize (Zea mays L.)
Dictionary: {
    'Maize (Zea mays L.)': {
        'Se': 3.67,
        'Mo': 0.530,
        'Zn': 27.4
    },
    'Soil with mercury tailing': {
        'As': 1000,
        'Hg': 1000,
        'Pb': 1000
    },
    'Lime soil': {
        'As': 0,
        'Hg': 0,
        'Pb': 0
    }
}</s>","{'Zea mays L.': ['As', 'Hg', 'Pb']}</s>","The concentrations and interactive effects of beneficial elements (i. e. , Se, Mo, and Zn) and heavy metals (As, Cd, Hg, and Pb) of maize (Zea mays L. ) grown on lime soil and/or soil with mercury tailing were investigated in this study. The results show that the concentrations of heavy metals (i. e. , As, Hg, and Pb) in soil with tailing were higher than those in lime soil. The concentrations of beneficial elements (i. e. , Mo and Zn) in maize grown on soil with tailing were higher than those of maize grown on lime soil. The mean concentrations of Se, Mo, and Zn in maize grown on soil with tailing were 3.67 mg/kg, 0.530 mg/kg, and 27.4 mg/kg. The pH and an antagonistic effect played an important role in the concentrations of Mo and Zn in maize. The Se concentration in maize was controlled by the planting media."
"Chemicals: <chemicals you identified in the text above between triple backticks>
Foods: <foods you identified in the text above between triple backticks>
Dictionary: <dictionary storing food-chemical pairs where foods are keys and 
chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values></s>","{'Maize': ['fusaric acid', 'picolinic acid', 'methacrylic acid', '2-dimethylaminoethyl methacrylate']}</s>",A new LC method to detect fusaric acid (FA) in maize is reported based on a molecularly imprinted SPE clean-up using mimic-templated molecularly imprinted polymers. Picolinic acid was used as a toxin analog for imprinting polymers during a thermolytic synthesis. Both acidic and basic functional monomers were predicted to have favorable binding interactions by MP2 ab initio calculations. Imprinted polymers synthesized with methacrylic acid or 2-dimethylaminoethyl methacrylate exhibited imprinting effects in SPE analysis. FA levels were determined using RP ion-pairing chromatography with diode-array UV detection and tetrabutylammonium hydrogen sulfate in the mobile phase. A method was developed to detect FA in maize using molecularly imprinted SPE analysis within the range of 1-100 μg/g with recoveries between 83.9 and 92.1%.
"Chemicals: [['ochratoxin A (OTA)']]
Foods: [['maize bread', 'wheat bread', '43 representative urine samples from the Lisbon region']]
Dictionary: {
    'maize bread': ['ochratoxin A (OTA)'],
    'wheat bread': ['ochratoxin A (OTA)'],
    '43 representative urine samples from the Lisbon region': ['ochratoxin A (OTA)']
}</s>",{'Wheat bread': ['Ochratoxin A']}</s>,"A survey on the occurrence of ochratoxin A (OTA) in 41 bread samples was carried out in the Portuguese capital, Lisbon. Maize (5) and wheat bread (36) and 43 representative urine samples from the Lisbon region were assayed for OTA levels using immunoaffinity column cleanup (IAC) and HPLC with fluorimetric detection (LC–FD). The percentage of OTA-positive samples was slightly higher for maize bread (80%) than wheat bread (70.8%), although, due to its higher consumption, the latter contributes more to OTA exposure, featuring a higher estimated daily intake (EDI). In the urine samples analyzed, both female and male residents displayed similarly high levels of OTA frequency and average contamination. In summary, OTA is a food contaminant of concern and may constitute a hazard for public health through consumption of cereal-based products."
"Chemicals: phthalates, phthalate esters
Foods: virgin olive oil, olive oil, canola oil, hazelnut oil, sunflower oil, corn oil
Dictionary: {
    'virgin olive oil': [],
    'olive oil': [],
    'canola oil': [],
    'hazelnut oil': [],
    'sunflower oil': [],
    'corn oil': []
}</s>","{'Virgin olive oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate'],
 'Olive oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate'],
 'Canola oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate'],
 'Hazelnut oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate'],
 'Sunflower oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate'],
 'Corn oil': ['Di(2-ethylhexyl) phthalate', 'Diisononyl phthalate', 'Dibutyl phthalate']}</s>","The determination of phthalates in edible oils (virgin olive oil, olive oil, canola oil, hazelnut oil, sunflower oil, corn oil) sold in Turkish markets was carried out using gas chromatography-mass spectrometry. Mean phthalate concentrations were between 0.102 and 3.863 mg L(-1) in virgin olive oil; 0.172 and 6.486 mg L(-1) in olive oil; 0.501 and 3.651 mg L(-1) in hazelnut oil; 0.457 and 3.415 mg L(-1) in canola oil; 2.227 and 6.673 mg L(-1) in sunflower oil; and 1.585 and 6.248 mg L(-1) in corn oil. Furthermore, the influence of the types of oil and container to the phthalate migration was investigated. The highest phthalate levels were measured in sunflower oil. The lowest phthalate levels were determined in virgin olive oil and hazelnut oil. The highest phthalate levels were determined in oil samples contained in polyethylene terephthalate."
"Chemicals: fumonisins
Foods: corn
Dictionary: {
    'corn': 'fumonisins'
}</s>",{'Corn': ['Fumonisins (FB(1) and FB(2))']}</s>,"A total of 255 corn samples collected in 2010 from three main corn production provinces of China (Liaoning, Shandong, and Henan) were analyzed for contamination with fumonisins (FB(1) and FB(2)). The incidence of contamination was significantly higher in samples from Liaoning than in samples from the other two provinces. Approximately 80.0% of the samples from Liaoning were contaminated with fumonisins, with a mean total fumonisin concentration of 3,990 ng/g. In contrast, the mean total fumonisin concentrations were 845 and 665 ng/g in samples from Shandong and Henan, respectively. The probable daily intake of fumonisins (0.3 μg/kg of body weight) is within the provisional maximum tolerable daily intake of 2.0 μg/kg of body weight set by the Joint Food and Agriculture Organization and World Health Organization Expert Committee on Food Additives."
"Chemicals: pyraclostrobin
Foods: sweet corn
Dictionary: {sweet corn: 'pyraclostrobin'}</s>",{'Sweet corn': ['pyraclostrobin']}</s>,"In accordance with Article 6 of Regulation (EC) No 396/2005, the applicant H. L Hutchinson Ltd submitted a request to the competent national authority in the United Kingdom to modify the existing maximum residue level (MRL) for the active substance pyraclostrobin in sweet corn. The data submitted in support of the request were found to be sufficient to derive an MRL proposal for sweet corn. An analytical method for MRL enforcement and its independent laboratory validation, using liquid chromatography with tandem mass spectrometry (LC-MS/MS) was sufficiently validated at a limit of quantification (LOQ) of 0.02 mg/kg. Based on the risk assessment results, EFSA concluded that the short-term and long-term intake of residues resulting from the use of pyraclostrobin according to the reported agricultural practice is unlikely to present a risk to consumer health."
"Chemicals: T-2 toxin, HT-2 toxin
Foods: brown rice, barley, mixed grains, corn, wheat, wheat flour
Dictionary: {
    'brown rice': {
        'T-2 toxin': 11,
        'HT-2 toxin': 11
    },
    'barley': {
        'T-2 toxin': 0,
        'HT-2 toxin': 0
    },
    'mixed grains': {
        'T-2 toxin': 1,
        'HT-2 toxin': 11
    },
    'corn': {
        'T-2 toxin': 21,
        'HT-2 toxin': 21
    },
    'wheat': {
        'T-2 toxin': 0,
        'HT-2 toxin': 0
    },
    'wheat flour': {
        'T-2 toxin': 0,
        'HT-2 toxin': 0
    }
}</s>","{'Brown rice': ['T-2 toxin', 'HT-2 toxin'], 'Barley': ['T-2 toxin'], 'Mixed grains': ['T-2 toxin', 'HT-2 toxin'], 'Corn': ['T-2 toxin', 'HT-2 toxin'], 'Wheat': ['T-2 toxin'], 'Wheat flour': ['HT-2 toxin']}</s>","A total of 214 samples, consisting of brown rice, barley, mixed grains, corn, wheat and wheat flour were analysed for T-2 and HT-2 toxins using high-performance liquid chromatography with fluorescence detection. Recovery and repeatability were 79.9%-107.5% and 4.9%-14.5% for T-2, and 74.0%-106.1% and 5.0%-17.9% for HT-2, respectively. T-2 toxin was detected in 11 (5.1%) of all samples. The highest incidence was found in corn (21.7%) followed by mixed grains and brown rice. Mean of all samples was 1.5-4.1 µg kg⁻¹, the maximum level being 41.5 µg kg⁻¹ in corn. HT-2 toxin was detected in 126 (58.9%) of all samples, and the mean values were 26.4-59.2 µg kg⁻¹. The estimated daily intakes for the sum of T-2 and HT-2 toxins were 2.56, 3.22, 2.53, 0.03, 0.01 and 2.45 ng (kg bw)⁻¹ day⁻¹ in brown rice, barley, mixed grains, corn, wheat and wheat flour, respectively."
"Chemicals: [['fumonisin', 'fumonisin B1', 'fumonisin B2', 'fumonisin B3'], ['mycotoxins', 'toxins', 'toxic compounds']]
Foods: [['maize', 'corn', 'cornmeal'], ['lactic acid bacteria', 'bacteria', 'microorganisms']]
Dictionary: {
    'maize': ['fumonisin', 'fumonisin B1', 'fumonisin B2', 'fumonisin B3'],
    'lactic acid bacteria': ['mycotoxins', 'toxins', 'toxic compounds']
}</s>",{'Foods': ['Pediococcus pentosaceus (L006)']}</s>,"The present study was aimed at characterizing the ability of lactic acid bacteria isolated from maize to repress the growth of fumonisin-producing fungi. A total of 67 isolates were screened for their antifungal activity against Fusarium proliferatum and Fusarium verticillioides by using the overlay method. The most efficient antifungal isolate was identified as Pediococcus pentosaceus (L006), on the basis of physiological and biochemical characterization and 16S rRNA gene sequencing. Production of the antifungal metabolite by this isolate commenced at the end of the growth exponential phase (8 h) and reached a maximum level after a long period of incubation (120 h). The antifungal metabolites produced were shown to be heat stable, resistant to proteolytic enzyme treatments, and pH dependent. The exact chemical nature of these substances remains to be clarified."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Fusarium diseases of small grain cereals and maize': ['Fusarium infections', 'mycotoxins', 'maximum limits', 'consumers', 'mycotoxin contamination', 'field']}</s>","Fusarium diseases of small grain cereals and maize cause significant yield losses worldwide. Fusarium infections result in reduced grain yield and contamination with mycotoxins, some of which have a notable impact on human and animal health. Regulations on maximum limits have been established in various countries to protect consumers from the harmful effects of these mycotoxins. Several factors are involved in Fusarium disease and mycotoxin occurrence and among them environmental factors and the agronomic practices have been shown to deeply affect mycotoxin contamination in the field. In the present review particular emphasis will be placed on how environmental conditions and stress factors for the crops can affect Fusarium infection and mycotoxin production, with the aim to provide useful knowledge to develop strategies to prevent mycotoxin accumulation in cereals."
"Chemicals: acrylamide
Foods: rice, potato, corn, wheat, dried fruit slices
Dictionary: {rice: ['acrylamide'], potato: ['acrylamide'], corn: ['acrylamide'], wheat: ['acrylamide'], dried fruit slices: ['acrylamide']}</s>","{'Potato': ['Acrylamide'], 'Potato products': ['Acrylamide'], 'Corn products': ['Acrylamide'], 'Instant foods': ['Acrylamide'], 'Rice products': ['Acrylamide'], 'Wheat products': ['Acrylamide'], 'Dried fruit slices': ['Acrylamide']}</s>","Acrylamide content in food market in China was determined with the goal to evaluate related health concern. In this survey, products of rice, potato corn, wheat as well as dried fruit slices and instant foods were analysed. All these types of thermal-processed carbohydrate-rich foods were frequently consumed in China. They were purchased from markets in Zhejiang province and analysed using a liquid chromatography tandem/mass spectrometry method. Acrylamide was detected in 94.3% of 105 investigated samples, ranging from 10 to 3649 μg/kg with an average value of 231 μg/kg and a median of 114 μg/kg. In this study, high levels were found in potato products (564 ± 285 μg/kg), corn products (524 ± 187 μg/kg) and instant foods (180 ± 35 μg/kg) while low levels were measured in rice products (82 ± 17 μg/kg), wheat products (96 ± 29 μg/kg) and dried fruit slices (83 ± 13 μg/kg)."
"Chemicals: None
Foods: Maize (Zea mays L.)
Dictionary: {}</s>",{'Maize': ['Fusarium']}</s>,"The quality and safety of maize (Zea mays L. ) from different grain storage units (GSUs), located in the main producing region of Rondônia State, Northern Brazil, were evaluated. Maize grains (n = 76) stored in four GSUs were collected from July to November 2014 and evaluated for grain damages, humidity, fungi and fumonisins (FBs) content. The climate conditions data were also obtained from plant growing to storage periods. Regarding the moisture content and water activity (aw), these varied from 10.0% to 16.1% and 0.5 to 0.8, respectively. As expected, fungi spores were present in 94.8% of the samples, prevailing Fusarium genera, with a fungi colony maximum of 2.2 × 104 CFU g-1. Regarding FBs, 60.5% of the samples were contaminated, below Brazilian and United States maximum limits, but 9.2% had levels higher than the European legislation."
"Chemicals: DON
            Foods: wheat-based, multi-grain, maize-based
            Dictionary: {wheat-based: 'DON', multi-grain: 'DON', maize-based: 'DON'}</s>","{'Wheat-based': ['DON'], 'Multi-grain': ['DON'], 'Maize-based': ['DON']}</s>","The study examined 110 samples of baby products based on rice, wheat, maize and multi-grains available on the western Polish market in order to detect the level of deoxynivalenol (DON) by means of HPLC (high-performance liquid chromatography) with a fluorescence detector (HPLC-FLD). DON was detected in 9.09% of the infant food samples, with an average and maximum level of 107.8 ± 30 and 148 μg/kg, respectively. The highest concentration of DON was detected in food for infants: wheat-based (mean 121 ± 7.07, 4.8%), multi-grain (mean 118 ± 5.65, 4.25%) and maize-based (mean 100 ± 37.96; 35.30%). No high DON content and high estimated daily intake were observed in the analyzed products. However, in order to minimize the harmfulness associated with the presence of DON in food for infants and young children, a risk assessment should be performed based on the monitoring results."
